Price,Nr Bedrooms,Nr Bathrooms,Location,Size,,City
130000,3,5," Al Khalidiyah, Abu Dhabi",2500,sqft,Abu Dhabi
60000,3,3," Al Khalidiyah, Abu Dhabi",1800,sqft,Abu Dhabi
80400,3,3," Al Khalidiyah, Abu Dhabi",1900,sqft,Abu Dhabi
78000,3,3," Al Khalidiyah, Abu Dhabi",2000,sqft,Abu Dhabi
60000,3,3," Al Khalidiyah, Abu Dhabi",1600,sqft,Abu Dhabi
65000,3,3," Al Khalidiyah, Abu Dhabi",2000,sqft,Abu Dhabi
85000,3,4," Al Khalidiyah, Abu Dhabi",2000,sqft,Abu Dhabi
115000,3,4," Al Khalidiyah, Abu Dhabi",2852,sqft,Abu Dhabi
130000,3,4," Al Khalidiyah, Abu Dhabi",2368,sqft,Abu Dhabi
120000,3,4," Al Khalidiyah, Abu Dhabi",1960,sqft,Abu Dhabi
150000,3,5," Al Khalidiyah, Abu Dhabi",2800,sqft,Abu Dhabi
150000,3,5," Al Khalidiyah, Abu Dhabi",2350,sqft,Abu Dhabi
95000,3,4," Al Khalidiyah, Abu Dhabi",1798,sqft,Abu Dhabi
100000,3,3," Al Khalidiyah, Abu Dhabi",1690,sqft,Abu Dhabi
80000,3,4," Al Khalidiyah, Abu Dhabi",2000,sqft,Abu Dhabi
90000,3,4," Al Khalidiyah, Abu Dhabi",1710,sqft,Abu Dhabi
65000,3,3," Al Khalidiyah, Abu Dhabi",1500,sqft,Abu Dhabi
119990,3,4," Al Khalidiyah, Abu Dhabi",2015,sqft,Abu Dhabi
95000,3,3," Al Khalidiyah, Abu Dhabi",1900,sqft,Abu Dhabi
95000,3,3," Al Khalidiyah, Abu Dhabi",1700,sqft,Abu Dhabi
63000,3,3," Al Khalidiyah, Abu Dhabi",1500,sqft,Abu Dhabi
60000,3,3," Al Khalidiyah, Abu Dhabi",1500,sqft,Abu Dhabi
70000,3,3," Al Khalidiyah, Abu Dhabi",1550,sqft,Abu Dhabi
180000,3,4," Al Khalidiyah, Abu Dhabi",2361,sqft,Abu Dhabi
90000,3,4," Al Khalidiyah, Abu Dhabi",1851,sqft,Abu Dhabi
149999,3,4," Al Khalidiyah, Abu Dhabi",1883,sqft,Abu Dhabi
85000,3,4," Al Khalidiyah, Abu Dhabi",2200,sqft,Abu Dhabi
85000,3,4," Al Khalidiyah, Abu Dhabi",2200,sqft,Abu Dhabi
85000,3,4," Al Khalidiyah, Abu Dhabi",2200,sqft,Abu Dhabi
160000,3,4," Al Khalidiyah, Abu Dhabi",1700,sqft,Abu Dhabi
60000,3,3," Al Khalidiyah, Abu Dhabi",1700,sqft,Abu Dhabi
90000,3,4," Al Khalidiyah, Abu Dhabi",1800,sqft,Abu Dhabi
110000,3,4," Al Khalidiyah, Abu Dhabi",1808,sqft,Abu Dhabi
85000,3,5," Al Khalidiyah, Abu Dhabi",2420,sqft,Abu Dhabi
95000,3,3," Al Khalidiyah, Abu Dhabi",1892,sqft,Abu Dhabi
100000,3,3," Al Khalidiyah, Abu Dhabi",2215,sqft,Abu Dhabi
105000,3,5," Al Khalidiyah, Abu Dhabi",2156,sqft,Abu Dhabi
139999,3,4," Al Khalidiyah, Abu Dhabi",2420,sqft,Abu Dhabi
150000,3,4," Al Khalidiyah, Abu Dhabi",1862,sqft,Abu Dhabi
95000,3,4," Al Khalidiyah, Abu Dhabi",2200,sqft,Abu Dhabi
109990,3,4," Al Khalidiyah, Abu Dhabi",2150,sqft,Abu Dhabi
94990,3,3," Al Khalidiyah, Abu Dhabi",1750,sqft,Abu Dhabi
140000,3,4," Al Khalidiyah, Abu Dhabi",2500,sqft,Abu Dhabi
85000,3,4," Al Khalidiyah, Abu Dhabi",2200,sqft,Abu Dhabi
65000,3,3," Al Khalidiyah, Abu Dhabi",1900,sqft,Abu Dhabi
85000,3,3," Al Khalidiyah, Abu Dhabi",2200,sqft,Abu Dhabi
109999,3,4," Al Khalidiyah, Abu Dhabi",2200,sqft,Abu Dhabi
65000,3,3," Al Khalidiyah, Abu Dhabi",1200,sqft,Abu Dhabi
100000,3,4," Al Khalidiyah, Abu Dhabi",1500,sqft,Abu Dhabi
60000,3,3," Al Khalidiyah, Abu Dhabi",1800,sqft,Abu Dhabi
55000,3,3," Al Khalidiyah, Abu Dhabi",1750,sqft,Abu Dhabi
85000,3,3," Al Khalidiyah, Abu Dhabi",1798,sqft,Abu Dhabi
139999,3,4," Al Khalidiyah, Abu Dhabi",2526,sqft,Abu Dhabi
135000,3,4," Al Khalidiyah, Abu Dhabi",3200,sqft,Abu Dhabi
160000,3,5," Al Khalidiyah, Abu Dhabi",2050,sqft,Abu Dhabi
120000,3,5," Al Khalidiyah, Abu Dhabi",2400,sqft,Abu Dhabi
60000,3,3," Al Khalidiyah, Abu Dhabi",1500,sqft,Abu Dhabi
80000,3,4," Al Khalidiyah, Abu Dhabi",1818,sqft,Abu Dhabi
85000,3,4," Al Khalidiyah, Abu Dhabi",1795,sqft,Abu Dhabi
114999,3,4," Al Khalidiyah, Abu Dhabi",1700,sqft,Abu Dhabi
89998,3,4," Al Khalidiyah, Abu Dhabi",1925,sqft,Abu Dhabi
105000,3,4," Al Khalidiyah, Abu Dhabi",2750,sqft,Abu Dhabi
95000,3,3," Al Khalidiyah, Abu Dhabi",1700,sqft,Abu Dhabi
140000,3,3," Al Khalidiyah, Abu Dhabi",1800,sqft,Abu Dhabi
80000,3,4," Al Khalidiyah, Abu Dhabi",2050,sqft,Abu Dhabi
135000,3,4," Al Khalidiyah, Abu Dhabi",2850,sqft,Abu Dhabi
135000,3,4," Al Khalidiyah, Abu Dhabi",2350,sqft,Abu Dhabi
76000,3,5," Al Khalidiyah, Abu Dhabi",1750,sqft,Abu Dhabi
100000,3,5," Al Khalidiyah, Abu Dhabi",1800,sqft,Abu Dhabi
60000,3,3," Al Khalidiyah, Abu Dhabi",1700,sqft,Abu Dhabi
100000,3,3," Al Khalidiyah, Abu Dhabi",1700,sqft,Abu Dhabi
150000,3,4," Al Khalidiyah, Abu Dhabi",2000,sqft,Abu Dhabi
170000,3,4," Al Khalidiyah, Abu Dhabi",3200,sqft,Abu Dhabi
85000,3,4," Al Khalidiyah, Abu Dhabi",1756,sqft,Abu Dhabi
85000,3,4," Al Manaseer, Abu Dhabi",2250,sqft,Abu Dhabi
